ts,price,alpha
2026-05-14 17:06:22.372,346.44,247
2026-05-14 17:06:23.009,346.44,51
2026-05-14 17:06:24.920,346.44,21
2026-05-14 17:06:25.557,346.44,141
2026-05-14 17:06:26.193,346.44,164
2026-05-14 17:06:26.830,346.44,141
2026-05-14 17:06:27.467,346.44,21
2026-05-14 17:05:02.761,346.556,61
2026-05-14 17:05:03.398,346.556,85
2026-05-14 17:05:04.035,346.556,61
2026-05-14 17:05:11.041,346.556,35
2026-05-14 17:05:11.677,346.556,173
2026-05-14 17:05:12.314,346.556,202
2026-05-14 17:05:12.951,346.556,177
2026-05-14 17:05:13.588,346.556,41
2026-05-14 17:05:14.225,346.556,54
2026-05-14 17:05:14.862,346.556,158
2026-05-14 17:05:15.499,346.556,226
2026-05-14 17:05:16.136,346.556,241
2026-05-14 17:05:16.773,346.556,227
2026-05-14 17:05:17.409,346.556,90
2026-05-14 17:06:05.176,346.556,98
2026-05-14 17:06:05.813,346.556,112
2026-05-14 17:06:06.450,346.556,98
2026-05-14 17:06:19.825,346.556,186
2026-05-14 17:06:20.461,346.556,253
2026-05-14 17:06:21.098,346.556,253
2026-05-14 17:06:21.735,346.556,253
2026-05-14 17:06:22.372,346.556,253
2026-05-14 17:06:23.009,346.556,133
2026-05-14 17:06:24.920,346.556,34
2026-05-14 17:06:25.557,346.556,166
2026-05-14 17:06:26.193,346.556,175
2026-05-14 17:06:26.830,346.556,166
2026-05-14 17:06:27.467,346.556,34
2026-05-14 17:05:02.761,346.673,83
2026-05-14 17:05:03.398,346.673,159
2026-05-14 17:05:04.035,346.673,83
2026-05-14 17:05:11.041,346.673,32
2026-05-14 17:05:11.677,346.673,211
2026-05-14 17:05:12.314,346.673,226
2026-05-14 17:05:12.951,346.673,211
2026-05-14 17:05:13.588,346.673,32
2026-05-14 17:05:14.862,346.673,58
2026-05-14 17:05:15.499,346.673,121
2026-05-14 17:05:16.136,346.673,170
2026-05-14 17:05:16.773,346.673,115
2026-05-14 17:05:17.409,346.673,67
2026-05-14 17:05:18.046,346.673,15
2026-05-14 17:06:04.539,346.673,15
2026-05-14 17:06:05.176,346.673,67
2026-05-14 17:06:05.813,346.673,75
2026-05-14 17:06:06.450,346.673,67
2026-05-14 17:06:07.087,346.673,15
2026-05-14 17:06:19.825,346.673,69
2026-05-14 17:06:20.461,346.673,252
2026-05-14 17:06:21.098,346.673,253
2026-05-14 17:06:21.735,346.673,253
2026-05-14 17:06:22.372,346.673,248
2026-05-14 17:06:23.009,346.673,62
2026-05-14 17:06:24.920,346.673,21
2026-05-14 17:06:25.557,346.673,138
2026-05-14 17:06:26.193,346.673,154
2026-05-14 17:06:26.830,346.673,138
2026-05-14 17:06:27.467,346.673,21
2026-05-14 17:05:02.124,346.789,47
2026-05-14 17:05:02.761,346.789,241
2026-05-14 17:05:03.398,346.789,247
2026-05-14 17:05:04.035,346.789,241
