ts,price
2026-05-14 17:02:32.471,388.4
2026-05-14 17:02:32.743,385.05
2026-05-14 17:02:33.583,385.53
2026-05-14 17:02:34.730,387.45
2026-05-14 17:02:34.047,385.28
2026-05-14 17:02:34.730,387.45
2026-05-14 17:02:35.073,385.53
2026-05-14 17:02:35.479,385.67
2026-05-14 17:02:35.949,387.45
2026-05-14 17:02:36.287,385.2
2026-05-14 17:02:36.481,385.68
2026-05-14 17:02:36.561,385.68
2026-05-14 17:02:36.561,385.05
2026-05-14 17:02:36.899,387.72
2026-05-14 17:02:37.594,385.05
2026-05-14 17:02:37.651,385.05
2026-05-14 17:02:38.118,385.36
2026-05-14 17:02:38.694,385.05
2026-05-14 17:02:38.885,385.06
2026-05-14 17:02:38.885,385.36
2026-05-14 17:02:38.950,385.05
2026-05-14 17:02:39.902,385.05
2026-05-14 17:02:40.382,385.06
2026-05-14 17:02:40.382,386.54
2026-05-14 17:02:40.580,385.05
2026-05-14 17:02:41.429,385.05
2026-05-14 17:02:41.621,385.05
2026-05-14 17:02:41.621,385.05
2026-05-14 17:02:42.457,386.54
2026-05-14 17:02:42.457,385.2
2026-05-14 17:02:44.525,385.21
2026-05-14 17:02:44.525,385.34
2026-05-14 17:02:45.343,387.6
2026-05-14 17:02:44.525,385.2
2026-05-14 17:02:45.415,385.21
2026-05-14 17:02:46.154,386.4
2026-05-14 17:02:45.747,385.2
2026-05-14 17:02:46.561,385.66
2026-05-14 17:02:46.762,385.71
2026-05-14 17:02:47.483,388.08
2026-05-14 17:02:47.225,385.6
2026-05-14 17:02:47.775,386.0
2026-05-14 17:02:48.197,385.93
2026-05-14 17:02:48.197,385.93
2026-05-14 17:02:49.069,385.0
2026-05-14 17:02:49.069,385.0
2026-05-14 17:02:49.970,387.37
2026-05-14 17:02:50.384,386.51
2026-05-14 17:02:50.384,385.0
2026-05-14 17:02:51.405,385.0
2026-05-14 17:02:51.526,385.02
2026-05-14 17:02:51.526,385.02
2026-05-14 17:02:52.036,385.8
2026-05-14 17:02:52.512,385.5
2026-05-14 17:02:53.390,385.5
2026-05-14 17:02:53.390,385.69
2026-05-14 17:02:54.055,386.86
2026-05-14 17:02:53.989,384.9
2026-05-14 17:02:54.267,384.9
2026-05-14 17:02:54.799,384.9
2026-05-14 17:02:54.799,384.71
2026-05-14 17:02:54.799,382.83
2026-05-14 17:02:55.674,385.02
2026-05-14 17:02:55.805,383.8
2026-05-14 17:02:56.287,385.59
2026-05-14 17:02:56.213,383.2
2026-05-14 17:02:56.828,383.81
2026-05-14 17:02:56.898,382.6
2026-05-14 17:02:57.033,386.52
2026-05-14 17:02:57.643,386.2
2026-05-14 17:02:58.110,386.2
2026-05-14 17:02:58.110,386.2
2026-05-14 17:02:59.076,383.25
2026-05-14 17:02:58.315,386.21
2026-05-14 17:02:59.147,385.82
2026-05-14 17:02:59.946,383.21
2026-05-14 17:03:00.216,384.2
2026-05-14 17:03:00.558,385.38
2026-05-14 17:03:01.240,384.12
2026-05-14 17:03:01.240,384.12
2026-05-14 17:03:01.925,384.52
2026-05-14 17:03:02.057,384.03
2026-05-14 17:03:02.279,384.3
2026-05-14 17:03:02.722,383.71
2026-05-14 17:03:02.939,384.04
2026-05-14 17:03:03.854,384.04
2026-05-14 17:03:03.854,384.04
2026-05-14 17:03:04.538,383.04
2026-05-14 17:03:04.876,384.04
2026-05-14 17:03:05.080,384.04
2026-05-14 17:03:05.080,384.04
2026-05-14 17:03:05.080,385.74
2026-05-14 17:03:05.645,383.39
2026-05-14 17:03:05.987,384.05
2026-05-14 17:03:06.180,384.05
2026-05-14 17:03:06.180,384.05
2026-05-14 17:03:07.061,385.85
2026-05-14 17:03:07.206,384.86
2026-05-14 17:03:07.883,384.87
2026-05-14 17:03:07.883,384.87
2026-05-14 17:03:07.883,385.85
2026-05-14 17:03:08.016,384.86
2026-05-14 17:03:08.921,385.28
2026-05-14 17:03:09.742,386.4
2026-05-14 17:03:10.086,385.44
2026-05-14 17:03:10.662,385.5
2026-05-14 17:03:10.662,385.43
2026-05-14 17:03:10.662,384.86
2026-05-14 17:03:11.223,386.97
2026-05-14 17:03:11.712,386.1
2026-05-14 17:03:12.045,386.1
2026-05-14 17:03:12.045,386.1
2026-05-14 17:03:12.341,385.5
2026-05-14 17:03:12.746,386.98
2026-05-14 17:03:12.746,386.98
2026-05-14 17:03:13.253,385.5
2026-05-14 17:03:13.644,385.51
2026-05-14 17:03:14.942,386.75
2026-05-14 17:03:14.942,386.75
2026-05-14 17:03:15.365,385.54
2026-05-14 17:03:16.161,385.6
2026-05-14 17:03:17.125,385.89
2026-05-14 17:03:17.600,387.0
2026-05-14 17:03:18.134,386.49
2026-05-14 17:03:19.121,386.5
2026-05-14 17:03:19.977,387.0
2026-05-14 17:03:19.802,385.78
2026-05-14 17:03:19.977,387.0
2026-05-14 17:03:20.653,386.98
2026-05-14 17:03:21.678,384.86
2026-05-14 17:03:21.678,386.4
2026-05-14 17:03:22.023,386.36
2026-05-14 17:03:22.023,386.39
2026-05-14 17:03:22.717,382.0
2026-05-14 17:03:23.774,382.01
2026-05-14 17:03:23.774,383.82
2026-05-14 17:03:24.807,380.0
2026-05-14 17:03:24.807,383.8
2026-05-14 17:03:25.247,380.0
2026-05-14 17:03:26.014,381.61
2026-05-14 17:03:26.099,381.61
2026-05-14 17:03:26.157,380.0
2026-05-14 17:03:26.622,384.19
2026-05-14 17:03:27.043,381.78
2026-05-14 17:03:27.186,383.48
2026-05-14 17:03:27.254,380.0
2026-05-14 17:03:27.787,380.52
2026-05-14 17:03:28.055,380.52
2026-05-14 17:03:28.055,378.5
2026-05-14 17:03:28.118,381.13
2026-05-14 17:03:28.993,380.8
2026-05-14 17:03:30.002,380.4
2026-05-14 17:03:30.002,380.4
2026-05-14 17:03:30.537,380.4
2026-05-14 17:03:30.537,381.4
2026-05-14 17:03:31.282,379.4
2026-05-14 17:03:31.282,379.4
2026-05-14 17:03:31.763,380.61
2026-05-14 17:03:32.167,379.2
2026-05-14 17:03:32.167,379.2
2026-05-14 17:03:32.782,379.2
2026-05-14 17:03:32.782,379.2
2026-05-14 17:03:32.782,378.88
2026-05-14 17:03:33.694,381.74
2026-05-14 17:03:33.694,381.74
2026-05-14 17:03:34.853,378.6
2026-05-14 17:03:34.853,378.6
2026-05-14 17:03:35.455,380.02
2026-05-14 17:03:36.253,379.77
2026-05-14 17:03:36.947,379.78
2026-05-14 17:03:36.947,379.78
2026-05-14 17:03:37.944,380.64
2026-05-14 17:03:37.944,380.64
2026-05-14 17:03:39.018,380.19
2026-05-14 17:03:39.090,380.4
2026-05-14 17:03:40.158,380.4
2026-05-14 17:03:40.158,380.18
2026-05-14 17:03:40.718,381.29
2026-05-14 17:03:41.186,380.78
2026-05-14 17:03:41.320,381.74
2026-05-14 17:03:41.585,380.6
2026-05-14 17:03:42.137,380.6
2026-05-14 17:03:42.313,380.6
2026-05-14 17:03:42.313,380.6
2026-05-14 17:03:42.899,381.43
2026-05-14 17:03:43.523,380.91
2026-05-14 17:03:44.518,379.37
2026-05-14 17:03:43.786,381.8
2026-05-14 17:03:44.518,379.37
2026-05-14 17:03:44.767,381.79
2026-05-14 17:03:44.767,381.79
2026-05-14 17:03:46.056,379.2
2026-05-14 17:03:46.121,381.08
2026-05-14 17:03:46.121,385.09
2026-05-14 17:03:46.477,379.05
2026-05-14 17:03:47.132,381.3
2026-05-14 17:03:47.566,381.3
2026-05-14 17:03:47.831,382.73
2026-05-14 17:03:48.589,381.9
2026-05-14 17:03:48.726,381.9
2026-05-14 17:03:48.726,381.9
2026-05-14 17:03:48.990,382.21
2026-05-14 17:03:49.099,381.21
2026-05-14 17:03:49.099,381.21
2026-05-14 17:03:49.261,380.2
2026-05-14 17:03:49.261,380.0
2026-05-14 17:03:49.476,381.21
2026-05-14 17:03:50.226,380.01
2026-05-14 17:03:51.220,381.21
2026-05-14 17:03:51.220,381.0
