,ust_market_cap_usd
2022-09-05 00:00:00,295698158.3453956
2022-09-08 00:00:00,414249573.3423705
2022-09-11 00:00:00,599011088.1002245
2022-09-14 00:00:00,440779585.0676124
2022-09-17 00:00:00,342718127.5141509
2022-09-20 00:00:00,344072400.4025046
2022-09-23 00:00:00,317064434.81892294
2022-09-26 00:00:00,278030025.64191926
2022-09-29 00:00:00,305455347.2223597
2022-10-02 00:00:00,317167678.4257718
2022-10-05 00:00:00,303584340.7944104
2022-10-08 00:00:00,288404883.5686012
2022-10-11 00:00:00,421532470.2892366
2022-10-14 00:00:00,518205288.09648776
2022-10-17 00:00:00,369500989.04595804
2022-10-20 00:00:00,396846278.1361115
2022-10-23 00:00:00,353515798.8806202
2022-10-26 00:00:00,363433619.2921754
2022-10-30 00:00:00,378597869.2207226
2022-11-02 00:00:00,365490024.4764634
2022-11-05 00:00:00,375612015.0049888
2022-11-08 00:00:00,351036055.55696034
2022-11-11 00:00:00,257353327.32812
2022-11-14 00:00:00,226299947.1967768
2022-11-17 00:00:00,216835520.21256506
2022-11-20 00:00:00,225468382.68611902
2022-11-23 00:00:00,200950212.69923314
2022-11-26 00:00:00,197660380.9484684
2022-11-29 00:00:00,201389466.07671407
2022-12-02 00:00:00,210781871.79443353
2022-12-05 00:00:00,217687567.47790393
2022-12-08 00:00:00,203776179.03365803
2022-12-11 00:00:00,239280071.50436336
2022-12-14 00:00:00,251058363.52193138
2022-12-17 00:00:00,209554678.97307825
2022-12-20 00:00:00,194431775.2007963
2022-12-23 00:00:00,204714671.16262597
2022-12-26 00:00:00,205465285.1662056
2022-12-29 00:00:00,199388317.03014114
2023-01-01 00:00:00,195552697.64996183
2023-01-04 00:00:00,200137705.70641887
2023-01-07 00:00:00,198751923.42250058
2023-01-10 00:00:00,208902895.97982082
2023-01-13 00:00:00,211793793.06019366
2023-01-16 00:00:00,254546531.4510058
2023-01-19 00:00:00,212542002.73338935
2023-01-22 00:00:00,225622815.11282647
2023-01-25 00:00:00,211934994.71865478
2023-01-28 00:00:00,216360749.71142218
2023-01-31 00:00:00,209481090.4258778
2023-02-03 00:00:00,242898529.91478217
2023-02-06 00:00:00,320753412.312142
2023-02-09 00:00:00,283424318.27836555
2023-02-12 00:00:00,277517981.5092033
2023-02-15 00:00:00,298777260.4500966
2023-02-18 00:00:00,280688186.7254274
2023-02-21 00:00:00,275874343.8407321
2023-02-24 00:00:00,261321417.2853136
2023-02-27 00:00:00,277804359.65278715
2023-03-02 00:00:00,265712290.72108704
2023-03-05 00:00:00,236256097.15724763
2023-03-08 00:00:00,232699763.82632944
2023-03-11 00:00:00,216983737.1815129
