date,mcap,buyback_usd,ann14,ann30,pe_14d,pe_30d
2026-04-13,9737587824.720121,1682047.23498,494804175.0236571,502506275.19201005,19.679679995130513,19.378042236386687
2026-04-14,10563313738.183044,1896392.55009,496406976.84985715,514267332.7979333,21.279543259477627,20.540510867591113
2026-04-15,10367275020.936817,1324651.59457,489005066.57486427,505362755.9478984,21.200751749981386,20.514521299637792
2026-04-16,10620387339.348377,1662817.41603,487195390.3192857,504695462.2675383,21.79903084138021,21.043159951611624
2026-04-17,10458860237.532883,1926748.50185,517864522.6268464,504632152.31978,20.196131962237434,20.725711172888595
2026-04-18,10610905589.465204,877262.95348,530632285.7476,491954405.13849324,19.996720656594906,21.568880121071505
2026-04-19,10469907465.057243,1367863.42244,551063532.4067643,491578108.7483833,18.99945623207914,21.298563297936276
2026-04-20,9691840473.187946,1298285.78909,540464321.2704643,500489774.3098949,17.93243344982594,19.36471226919997
2026-04-21,9683629099.94131,1613418.45391,548308825.9605358,505200975.58899826,17.660903201726477,19.167874900976717
2026-04-22,9501845698.092018,1599024.30308,524175219.1156678,496421064.05923665,18.12723179497595,19.140698060624977
2026-04-23,9824680050.623592,1550566.82689,521016440.37912846,497345915.2460566,18.85675631170959,19.75421884336365
2026-04-24,9836919578.138523,1038979.3541,514328486.2423499,491859653.0697083,19.12575297939729,19.999443981115476
2026-04-25,9804494104.098095,420523.07905,505706230.20984286,480232815.6033133,19.387726546358188,20.416126898326958
2026-04-26,9890437413.331377,674414.09714,493610241.8211071,472275572.23919827,20.036937193284256,20.942089734681566
2026-04-27,10140301630.897652,1313096.14811,483991159.913425,480380281.56741333,20.95141909763707,21.10890479894652
2026-04-28,9915238963.786144,1154158.92085,464640068.86538213,485905572.4861483,21.339612375657676,20.405690992705786
2026-04-29,9558838410.209314,1585554.2021,471442172.56170005,490104332.6331967,20.27573892736187,19.503680693562302
2026-04-30,9517109169.398647,1087242.5305,456436113.0460964,481007648.24707836,20.85091187435797,19.78577514116784
2026-05-01,9460812215.771103,1346278.63963,441302434.4953608,477816552.5003117,21.43838663974232,19.80009308230261
2026-05-02,9803039197.17328,554995.43175,432900459.82168573,463493536.105635,22.6450191372197,21.150325589306743
2026-05-03,9843518332.476944,727226.94301,416198151.607975,463211618.8832767,23.651038079930593,21.250585976681606
2026-05-04,9889842326.505718,1908903.31274,432117822.7602786,481721532.710625,22.88691140608704,20.530206052563248
2026-05-05,9966565321.640732,1636317.05313,432714821.9542286,494522300.32496333,23.03264139792967,20.1539249394647
2026-05-06,10409653586.679724,1962791.94505,442198764.04844654,497660826.69220334,23.54066639937343,20.91716492107577
2026-05-07,10253462301.029251,1614943.04326,443877143.97523576,501340144.717995,23.0997753324314,20.452107035627176
2026-05-08,10136166176.05326,1353339.60991,452072964.9302822,487088631.09015495,22.42152697101991,20.809695667434216
2026-05-09,10288209715.175377,839949.07382,463007999.7939285,476968685.0174183,22.220371396939928,21.569989893151295
2026-05-10,10238069453.431068,1107992.98324,474312020.7529642,474687305.5747917,21.585093789481164,21.568028749018143
2026-05-11,10274147186.427038,1503455.78365,479274968.3938286,483839267.332255,21.43685329709227,21.234628687902106
2026-05-12,9994435917.382965,1301986.49003,483129044.3045929,485829936.86433995,20.686886940876786,20.571881555692908
2026-05-13,9574968306.392744,1387474.38577,477964820.5217036,482245967.1989517,20.032788806384467,19.85494738713402
2026-05-14,9268235871.016521,1748781.03831,495212074.4753215,480450027.1389617,18.715690405643365,19.29073857318328
2026-05-15,10518032022.364414,1737412.38552,505409489.9931679,485471950.09551996,20.81091121281992,21.66558133852001
2026-05-16,10531893670.214426,985592.61241,516635773.6318036,477232381.6514767,20.385529240799933,22.068690380498698
2026-05-17,9982951139.00872,1092883.03265,526168950.2545607,467087018.44287676,18.97290049931484,21.372786536197864
2026-05-18,10743852712.616138,1728259.85956,521459317.3680821,477440814.1335167,20.60343416020004,22.503004340160185
2026-05-19,11341593836.72454,1177698.13111,509502466.90113205,475127136.422335,22.260135276097408,23.870650542349004
2026-05-20,11483593354.262741,1430631.52066,495628284.40810716,476737342.8231033,23.169769998047553,24.087883039033944
2026-05-21,12979211613.804953,2138784.46241,509285578.5502321,483129295.92652,25.48513478577674,26.864882182137396
2026-05-22,13994854508.381601,1813376.98662,521279410.1573143,485737253.57625675,26.847126964324495,28.81157334617433
2026-05-23,13139337764.672915,1682860.59346,543255317.6336428,487346827.7361917,24.186303084719626,26.960958842611856
2026-05-24,13908081602.833355,1343824.83657,549403790.9526036,491055781.1062433,25.314862823786356,28.322814103728565
2026-05-25,15017327063.968239,1076230.56147,538265419.0886251,499033555.47568667,27.899483287250977,30.09282021056377
2026-05-26,13614350248.066385,1931355.10092,554673957.8725429,514326337.6883434,24.544779964583793,26.47025682032254
2026-05-27,13222710559.921072,1576858.18983,559611464.1926786,517535442.52927005,23.628376839986235,25.54938169123217
2026-05-28,12835538484.272715,1940756.76057,564616545.5230285,527105716.2458634,22.733195805274544,24.35097569362291
2026-05-29,13687499326.384832,1821481.39163,566808344.6108965,529976163.7184783,24.148373002131876,25.82663195708475
2026-05-30,14302850227.48785,931924.43609,565409138.5854107,528086460.23649013,25.296461007460813,27.08429642578354
2026-05-31,15077776934.03428,1192802.40534,568014179.3734,526219166.05262834,26.544719272091417,28.65303642803143
2026-06-01,16001149105.767973,2512562.05755,588462058.1067107,550036226.6665283,27.191471200792954,29.09108224151393
2026-06-02,16376479140.152582,3522838.42673,649603215.8139465,584049499.718455,25.209972397739772,28.039539710327592
2026-06-03,15448457188.196703,3079290.67728,692586115.2543963,598289212.6536916,22.30546764935112,25.821052530222953
