date,USDT0,USDe,USDY,USDC,AUSD
2025-04-20,349896402.0,73302738.0,26285707.0,30957814.0,6781452.0
2025-04-21,349905510.0,73261206.0,26025218.0,30964910.0,6783678.0
2025-04-22,349905384.0,73405625.0,26285707.0,30970275.0,6786820.0
2025-04-23,349964329.0,74232562.0,26048899.0,31081192.0,6784804.0
2025-04-24,350064329.0,74172704.0,25859453.0,31076825.0,6786820.0
2025-04-25,350414653.0,74235493.0,26048898.0,31137450.0,6785300.0
2025-04-26,350064588.0,74153332.0,26523906.0,31148040.0,6786820.0
2025-04-27,350064588.0,74383489.0,26523906.0,31174989.0,6785374.0
2025-04-28,350064588.0,74391326.0,25908173.0,31247349.0,6786820.0
2025-04-29,350063742.0,74363389.0,26287075.0,31327009.0,6786820.0
2025-04-30,350063742.0,74598246.0,26050254.0,31436406.0,6786026.0
2025-05-01,360253130.0,58423969.0,26050254.0,31858543.0,6786820.0
2025-05-02,360253130.0,51142173.0,26289108.0,31921726.0,6793607.0
2025-05-03,356565260.0,47502323.0,26002971.0,31930769.0,6786820.0
2025-05-04,352065260.0,46610526.0,26287101.0,30925804.0,6786820.0
2025-05-05,352037391.0,45949098.0,26287080.0,30919559.0,6786820.0
2025-05-06,352618200.0,46484772.0,25836913.0,30929448.0,6788795.0
2025-05-07,353528777.0,42480818.0,25580360.0,31048495.0,6788795.0
2025-05-08,353550353.0,41547496.0,25561870.0,31049983.0,6785204.0
2025-05-09,353557772.0,50291364.0,25561888.0,31053843.0,6788795.0
2025-05-10,362731914.0,48160202.0,25253825.0,32266264.0,6788795.0
2025-05-11,362731914.0,50557280.0,25853769.0,32262541.0,6786650.0
2025-05-12,368731033.0,58135850.0,26253288.0,32264431.0,6788795.0
2025-05-13,377714667.0,47118305.0,26056639.0,32368671.0,6788795.0
2025-05-14,377714192.0,49777684.0,26239143.0,32389812.0,6787981.0
2025-05-15,377714192.0,66140675.0,26065994.0,32389262.0,6795584.0
2025-05-16,377774192.0,66397000.0,26101638.0,32394476.0,6788795.0
2025-05-17,391713215.0,58189391.0,26597580.0,32398885.0,6788795.0
2025-05-18,391713215.0,55418624.0,26094162.0,32511429.0,6787438.0
2025-05-19,391713215.0,58699904.0,26140963.0,32504241.0,6788795.0
2025-05-20,391713201.0,61352133.0,26379062.0,32506373.0,6776664.0
2025-05-21,391713201.0,59460888.0,26142092.0,32696317.0,6783521.0
2025-05-22,391813201.0,59668789.0,26173458.0,32693931.0,6788795.0
2025-05-23,391811884.0,56868431.0,25792884.0,32689694.0,6777791.0
2025-05-24,401189959.0,44927796.0,25674683.0,32690006.0,6781640.0
2025-05-25,401189810.0,56065782.0,25922771.0,32692694.0,6783541.0
2025-05-26,401189532.0,55858702.0,26274293.0,32701060.0,6786392.0
2025-05-27,401189532.0,56160973.0,26517690.0,32694868.0,6787594.0
2025-05-28,381189532.0,57011372.0,26192335.0,22696914.0,6776861.0
2025-05-29,385787416.0,50111986.0,26361575.0,22696990.0,6785917.0
2025-05-30,389055879.0,58455027.0,27063180.0,22705209.0,6788795.0
2025-05-31,392404994.0,59033241.0,26367232.0,22728221.0,6787560.0
2025-06-01,392404994.0,57312618.0,26440980.0,22728137.0,6782407.0
2025-06-02,393030608.0,57570222.0,26392178.0,22727433.0,6786501.0
2025-06-03,393423638.0,59106771.0,26509350.0,22732380.0,6783371.0
2025-06-04,393030608.0,59161228.0,26388796.0,22735312.0,6783785.0
2025-06-05,394732587.0,52639935.0,26461458.0,22725526.0,6786786.0
2025-06-06,395125927.0,53807941.0,26388743.0,22724666.0,6785462.0
2025-06-07,375410895.0,52443943.0,26388780.0,22724874.0,6787116.0
2025-06-08,375410895.0,52363473.0,26522651.0,22730471.0,6789303.0
2025-06-09,375410517.0,52215233.0,26527670.0,22728685.0,6790342.0
2025-06-10,376263025.0,58028636.0,26522631.0,22726642.0,6785085.0
