date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2025-12-14 00:00:00.000 UTC,polygon,4806000,-3504462,334557581,-185711782.84539047,148845798.15460953
2025-12-14 00:00:00.000 UTC,avalanche,992000,-15581,103411946,-26671359.718171578,76740586.28182842
2025-12-14 00:00:00.000 UTC,ethereum,,-57000,72000000,-16575142,55424858
2025-12-15 00:00:00.000 UTC,avalanche,322000,-1165000,103733946,-27836359.718171578,75897586.28182842
2025-12-15 00:00:00.000 UTC,ethereum,1000000,,73000000,-16575142,56424858
2025-12-15 00:00:00.000 UTC,polygon,5272104,-2735998,339829685,-188447780.84539047,151381904.15460953
2025-12-16 00:00:00.000 UTC,ethereum,1000000,-33000,74000000,-16608142,57391858
2025-12-16 00:00:00.000 UTC,polygon,6490500,-5983600,346320185,-194431380.84539047,151888804.15460953
2025-12-16 00:00:00.000 UTC,avalanche,1509000,-780363,105242946,-28616722.718171578,76626223.28182842
2025-12-17 00:00:00.000 UTC,polygon,6954000,-3300266,353274185,-197731646.84539047,155542538.15460953
2025-12-17 00:00:00.000 UTC,avalanche,169899,-984634.5658100001,105412845,-29601357.283981577,75811487.71601842
2025-12-17 00:00:00.000 UTC,ethereum,19000,-197542,74019000,-16805684,57213316
2025-12-18 00:00:00.000 UTC,avalanche,1545000,-1099511,106957845,-30700868.283981577,76256976.71601842
2025-12-18 00:00:00.000 UTC,ethereum,1149000,,75168000,-16805684,58362316
2025-12-18 00:00:00.000 UTC,polygon,4876300,-6912393,358150485,-204644039.84539047,153506445.15460953
2025-12-19 00:00:00.000 UTC,ethereum,103000,-1464405,75271000,-18270089,57000911
2025-12-19 00:00:00.000 UTC,polygon,5604586,-2517798,363755071,-207161837.84539047,156593233.15460953
2025-12-19 00:00:00.000 UTC,avalanche,3473000,-300000,110430845,-31000868.283981577,79429976.71601842
2025-12-20 00:00:00.000 UTC,polygon,2389000,-1679938,366144071,-208841775.84539047,157302295.15460953
2025-12-20 00:00:00.000 UTC,avalanche,1412000,,111842845,-31000868.283981577,80841976.71601842
2025-12-20 00:00:00.000 UTC,ethereum,2033000,,77304000,-18270089,59033911
2025-12-21 00:00:00.000 UTC,avalanche,194000,-202999.99999999997,112036845,-31203868.283981577,80832976.71601842
2025-12-21 00:00:00.000 UTC,ethereum,256000,-1280000,77560000,-19550089,58009911
2025-12-21 00:00:00.000 UTC,polygon,6765000,-3022741,372909071,-211864516.84539047,161044554.15460953
2025-12-22 00:00:00.000 UTC,ethereum,2009000,-1010000,79569000,-20560089,59008911
2025-12-22 00:00:00.000 UTC,polygon,4338761,-6684525,377247832,-218549041.84539047,158698790.15460953
2025-12-22 00:00:00.000 UTC,avalanche,2777190,-2030000,114814035,-33233868.283981577,81580166.71601842
2025-12-23 00:00:00.000 UTC,polygon,5340000,-7560449,382587832,-226109490.84539047,156478341.15460953
2025-12-23 00:00:00.000 UTC,avalanche,424000,-1027344,115238035,-34261212.28398158,80976822.71601842
2025-12-23 00:00:00.000 UTC,ethereum,1160000,-1080900,80729000,-21640989,59088011
2025-12-24 00:00:00.000 UTC,avalanche,1415162,-2020218,116653197,-36281430.28398158,80371766.71601842
2025-12-24 00:00:00.000 UTC,ethereum,817998,-1018718,81546998,-22659707,58887291
2025-12-24 00:00:00.000 UTC,polygon,4209500,-5580569,386797332,-231690059.84539047,155107272.15460953
2025-12-25 00:00:00.000 UTC,ethereum,2223000,-1800000,83769998,-24459707,59310291
2025-12-25 00:00:00.000 UTC,polygon,7222242,-6923307,394019574,-238613366.84539047,155406207.15460953
2025-12-25 00:00:00.000 UTC,avalanche,813000,-1385000,117466197,-37666430.28398158,79799766.71601842
2025-12-26 00:00:00.000 UTC,polygon,9495862,-7376788,403515436,-245990154.84539047,157525281.15460953
2025-12-26 00:00:00.000 UTC,avalanche,358999.99999999994,-7980,117825197,-37674410.28398158,80150786.71601842
2025-12-26 00:00:00.000 UTC,ethereum,1175000,-645142,84944998,-25104849,59840149
2025-12-27 00:00:00.000 UTC,avalanche,606000,-373118,118431197,-38047528.28398158,80383668.71601842
2025-12-27 00:00:00.000 UTC,ethereum,1360000,,86304998,-25104849,61200149
2025-12-27 00:00:00.000 UTC,polygon,3499600,-1902624.0875326674,407015036,-247892778.93292314,159122257.06707686
2025-12-28 00:00:00.000 UTC,ethereum,1649997,-1002953,87954995,-26107802,61847193
2025-12-28 00:00:00.000 UTC,polygon,4321500,-2729326,411336536,-250622104.93292314,160714431.06707686
2025-12-28 00:00:00.000 UTC,avalanche,145000,-330000,118576197,-38377528.28398158,80198668.71601842
2025-12-29 00:00:00.000 UTC,polygon,6944590,-2515856,418281126,-253137960.93292314,165143165.06707686
2025-12-29 00:00:00.000 UTC,avalanche,2435998,-6608.75,121012195,-38384137.03398158,82628057.96601842
2025-12-29 00:00:00.000 UTC,ethereum,151000,-3132.9999999999995,88105995,-26110935,61995060
2025-12-30 00:00:00.000 UTC,avalanche,1053000,-1007406,122065195,-39391543.03398158,82673651.96601842
2025-12-30 00:00:00.000 UTC,ethereum,406000,-1827000,88511995,-27937935,60574060
2025-12-30 00:00:00.000 UTC,polygon,2763100,-2531817,421044226,-255669777.93292314,165374448.06707686
2025-12-31 00:00:00.000 UTC,ethereum,450000,-1110955,88961995,-29048890,59913105
2025-12-31 00:00:00.000 UTC,polygon,9028900,-4361419.056410257,430073126,-260031196.9893334,170041929.0106666
2025-12-31 00:00:00.000 UTC,avalanche,170000,-1159492,122235195,-40551035.03398158,81684159.96601842
2026-01-01 00:00:00.000 UTC,polygon,3013600,-4895221.434092962,433086726,-264926418.42342636,168160307.57657364
2026-01-01 00:00:00.000 UTC,avalanche,498999.99999999994,-136000,122734195,-40687035.03398158,82047159.96601842
2026-01-01 00:00:00.000 UTC,ethereum,1100000,-30000.000000000004,90061995,-29078890,60983105
2026-01-02 00:00:00.000 UTC,avalanche,49000,-184200,122783195,-40871235.03398158,81911959.96601842
2026-01-02 00:00:00.000 UTC,ethereum,566000,-28000,90627995,-29106890,61521105
2026-01-02 00:00:00.000 UTC,polygon,3046925,-4105918,436133651,-269032336.4234264,167101314.57657364
2026-01-03 00:00:00.000 UTC,ethereum,228999.99999999997,-3000,90856995,-29109890,61747105
2026-01-03 00:00:00.000 UTC,polygon,5393500,-4940098,441527151,-273972434.4234264,167554716.57657364
2026-01-03 00:00:00.000 UTC,avalanche,30000,-897050.0000000001,122813195,-41768285.03398158,81044909.96601842
2026-01-04 00:00:00.000 UTC,polygon,4142400,-4123030,445669551,-278095464.4234264,167574086.57657364
2026-01-04 00:00:00.000 UTC,avalanche,201000,-160000,123014195,-41928285.03398158,81085909.96601842
2026-01-04 00:00:00.000 UTC,ethereum,129000,,90985995,-29109890,61876105
2026-01-05 00:00:00.000 UTC,avalanche,707000,-1911000,123721195,-43839285.03398158,79881909.96601842
2026-01-05 00:00:00.000 UTC,ethereum,1699000,-1150000,92684995,-30259890,62425105
2026-01-05 00:00:00.000 UTC,polygon,8079795,-9400621,453749346,-287496085.4234264,166253260.57657364
2026-01-06 00:00:00.000 UTC,ethereum,1190005,-493000.00000000006,93875000,-30752890,63122110
2026-01-06 00:00:00.000 UTC,polygon,11548719,-7628811,465298065,-295124896.4234264,170173168.57657364
2026-01-06 00:00:00.000 UTC,avalanche,1163005,-75311,124884200,-43914596.03398158,80969603.96601842
