time,fundingRate,close
2026-07-13 09:00:00+00:00,0.0006176167,1257.3
2026-07-13 10:00:00+00:00,0.0004899218,1238.6
2026-07-13 11:00:00+00:00,0.0007689274,1249.2
2026-07-13 12:00:00+00:00,0.0005679904,1254.2
2026-07-13 13:00:00+00:00,8.49385e-05,1261.0
2026-07-13 14:00:00+00:00,1.27968e-05,1266.2
2026-07-13 15:00:00+00:00,0.0001769209,1248.5
2026-07-13 16:00:00+00:00,-9.56097e-05,1236.3
2026-07-13 17:00:00+00:00,-0.0004353908,1239.6
2026-07-13 18:00:00+00:00,4.43206e-05,1224.6
2026-07-13 19:00:00+00:00,-0.0001336692,1238.1
2026-07-13 20:00:00+00:00,-8.52815e-05,1225.7
2026-07-13 21:00:00+00:00,-5.34082e-05,1223.2
2026-07-13 22:00:00+00:00,6.25e-06,1220.4
2026-07-13 23:00:00+00:00,-4.35828e-05,1217.6
2026-07-14 00:00:00+00:00,0.0011529055,1273.0
2026-07-14 01:00:00+00:00,0.00056705,1236.9
2026-07-14 02:00:00+00:00,0.00027597,1194.9
2026-07-14 03:00:00+00:00,0.0005586314,1194.7
2026-07-14 04:00:00+00:00,0.0008072047,1256.0
2026-07-14 05:00:00+00:00,0.0005321228,1272.5
2026-07-14 06:00:00+00:00,0.0001335477,1283.9
2026-07-14 07:00:00+00:00,3.75361e-05,1286.9
2026-07-14 08:00:00+00:00,7.97623e-05,1292.2
2026-07-14 09:00:00+00:00,0.0002359642,1294.0
2026-07-14 10:00:00+00:00,0.0003961843,1298.7
2026-07-14 11:00:00+00:00,0.0004139329,1288.0
2026-07-14 12:00:00+00:00,-0.0001052459,1306.2
2026-07-14 13:00:00+00:00,0.0002487486,1306.1
2026-07-14 14:00:00+00:00,0.0001128555,1328.1
2026-07-14 15:00:00+00:00,9.07021e-05,1326.0
2026-07-14 16:00:00+00:00,0.0004213844,1349.9
2026-07-14 17:00:00+00:00,0.0002863619,1343.0
2026-07-14 18:00:00+00:00,4.4972e-05,1353.9
2026-07-14 19:00:00+00:00,0.0001269341,1377.5
2026-07-14 20:00:00+00:00,0.0002849952,1363.3
