date,Ethereum,Solana,Polygon,Optimism,Avalanche C-Chain,BNB Chain,Arbitrum,Aptos,Tempo
2024-07-27,508470519.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,508470519.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,519026248.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,519026248.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,521016248.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,522809276.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,522809276.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-03,522809276.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,522809276.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,508336845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,510335845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,510335845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,513385845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,513385845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10,513385845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-11,513385845.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,517669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,517669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,517669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-17,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-18,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-22,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-23,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-24,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-25,502669169.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,509545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,509545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-31,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,502545708.96999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,517200069.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,517200069.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,514517741.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-06,514517741.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-07,514517741.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-08,514517741.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,514796548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,514796548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-11,514796548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-12,519796548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,520059548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-14,520059548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-15,520059548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,520059548.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,521667163.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18,521917184.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,521917184.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20,521917184.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-21,521917184.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-22,521917184.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,522264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-24,522264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,513264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,513264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,513264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-28,513264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,513264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,518264246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,519712380.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,512416388.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,523616388.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,537116388.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-05,537116388.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,537116388.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-07,522366388.95000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,522366388.95000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,522366388.95000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,531889426.95000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-11,550564426.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-12,550564426.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-13,550564426.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,550564426.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,557767034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,547767034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,547767034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-18,550987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-19,550987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-20,550987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,550987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,550987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,539987034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-24,529737034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,529737034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,529737034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,529737034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,534737034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,533537034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,523537034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,523537034.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,533502032.1300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,533502032.1300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03,533502032.1300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,529502032.1300001,0.0,1000000.0,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0
2024-11-05,511502032.1300001,0.0,1000000.0,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0
2024-11-06,511501032.1300001,0.0,1000000.0,1000000.0,1001000.0,0.0,1000000.0,0.0,0.0
2024-11-07,510998032.1300001,0.0,1001000.0,1001000.0,1001000.0,0.0,1001000.0,0.0,0.0
2024-11-08,509999032.1300001,0.0,1401000.0,1100000.0,1401000.0,0.0,1101000.0,0.0,0.0
2024-11-09,509999032.1300001,0.0,1401000.0,1100000.0,1401000.0,0.0,1101000.0,0.0,0.0
2024-11-10,509999032.1300001,0.0,1401000.0,1100000.0,1401000.0,0.0,1101000.0,0.0,0.0
2024-11-11,509999032.1300001,0.0,1401000.0,1100000.0,1401000.0,0.0,1101000.0,0.0,0.0
2024-11-12,516527922.7200001,0.0,1401000.0,1100000.0,1401000.0,0.0,1101000.0,0.0,0.0
2024-11-13,513467922.7200001,0.0,1401000.0,26100000.0,1401000.0,0.0,1101000.0,1000000.0,0.0
2024-11-14,485877788.4500001,0.0,1401000.0,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-15,454309005.3900001,0.0,32269803.68,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-16,454309005.3900001,0.0,32269803.68,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-17,454309005.3900001,0.0,32269803.68,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-18,454309005.3900001,0.0,32269803.68,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-19,448809005.3900001,0.0,32269803.68,26100000.0,27015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-20,443809005.3900001,0.0,32269803.68,26100000.0,32015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-21,443909005.3900001,0.0,32269803.68,26100000.0,32015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-22,443909005.3900001,0.0,32269803.68,26100000.0,32015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-23,443809005.3900001,0.0,32269803.68,26100000.0,32015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-24,443809005.3900001,0.0,32269803.68,26100000.0,32015613.13,0.0,1101000.0,1000000.0,0.0
2024-11-25,437808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-11-26,437808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-11-27,440808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-11-28,440808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-11-29,440808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-11-30,440808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-12-01,440808895.3900001,0.0,32269903.68,26100000.0,32015623.13,0.0,1101000.0,1000000.0,0.0
2024-12-02,447313391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-03,458263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-04,458263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-05,433263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-06,433263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-07,433263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-08,433263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-09,433263391.7700001,0.0,32334606.74,26154612.51,32079907.38,0.0,1104362.29,1002197.77,0.0
2024-12-10,433263391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-11,443863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-12,443863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-13,443863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-14,443863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-15,443863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-16,426863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-17,426863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-18,426863391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-19,432088391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-20,432193391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-21,432193391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-22,432193391.7700001,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-23,437694641.97000015,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,1002197.77,0.0
2024-12-24,451334744.43000007,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,52641253.29000001,0.0
2024-12-25,451334744.43000007,0.0,32334606.74,26154612.51,57079907.379999995,0.0,1104362.29,52641253.29000001,0.0
