,Ethereum,Solana,Base,BSC,Tron,Others
2023-01-01,58.24595195976569,0.5661406844867951,0.0,12.142999047785313,11.20067832220106,17.844229985761135
2023-01-08,58.430032601239475,0.5879048137595578,0.0,12.215051928438621,10.936317768513494,17.83069288804885
2023-01-15,58.65369688127338,0.6159688928504645,0.0,12.251427713716975,10.746175442158393,17.73273107000079
2023-01-22,58.818436591123145,0.608709962133385,0.0,11.828978280253356,10.995293759638642,17.748581406851468
2023-01-29,58.38917868264429,0.5778049487607015,0.0,11.681784849053063,11.411425806096528,17.939805713445413
2023-02-05,58.2093379191468,0.5584942006739182,0.0,11.618989900532872,11.27259509155922,18.34058288808719
2023-02-12,58.10723946504648,0.5361047564708307,0.0,11.6266204970685,10.971784704315295,18.758250577098888
2023-02-19,58.44185758659136,0.5244712744473247,0.0,10.974812447666215,11.130768306850232,18.928090384444868
2023-02-26,58.24076432997462,0.540240214253369,0.0,10.664202425889567,11.0168246035943,19.537968426288153
2023-03-05,58.44173509363901,0.5285292614430294,0.0,10.630012203579422,10.861678324902893,19.538045116435644
2023-03-12,59.13223574892214,0.52514220290522,0.0,10.81176207868124,10.344552612690999,19.186307356800402
2023-03-19,59.7529731883158,0.5215005907935926,0.0,10.321921524444775,10.6775327400444,18.726071956401434
2023-03-26,59.21920055057438,0.5680774371096246,0.0,9.826601164151455,11.128079333809817,19.258041514354726
2023-04-02,58.86381685086525,0.5625316213319108,0.0,9.950569732416097,11.141485056699102,19.48159673868764
2023-04-09,59.22232829454283,0.5752612623059575,0.0,9.782919969244587,11.043603899905834,19.375886574000788
2023-04-16,59.44535290477585,0.5717107692153861,0.0,9.494164082323804,11.10400894030266,19.384763303382297
2023-04-23,59.24449402030981,0.5738516922220118,0.0,9.702863550059352,11.08266189739254,19.396128840016285
2023-04-30,58.60707437546398,0.5748085188501284,0.0,9.701316268469077,11.54046751126249,19.576333325954323
2023-05-07,58.419292374404854,0.569807585441536,0.0,9.675734997128036,11.777908381256351,19.557256661769223
2023-05-14,58.19160052658684,0.5781516699314705,0.0,9.767402285027986,12.041084842432268,19.421760676021446
2023-05-21,57.72758228173308,0.584901772053494,0.0,9.895654006982442,12.112142817653313,19.679719121577676
2023-05-28,57.718932001483516,0.5772913041457003,0.0,9.597217435830064,12.176742053409459,19.929817205131258
2023-06-04,58.160328465027284,0.579697993553473,0.0,9.278907530045489,12.2305654089094,19.750500602464353
2023-06-11,58.568556871491715,0.6116951504080744,0.0,8.59864400593404,12.434739765282327,19.78636420688384
2023-06-18,58.95563402585751,0.6044160959030022,0.0,8.050969615669102,12.827178039564185,19.5618022230062
2023-06-25,59.16881353852266,0.5941522029843099,0.0,7.723930729407212,12.810174316850807,19.70292921223501
2023-07-02,59.50612827965737,0.5884828223490155,0.0,7.52501827728401,12.720163991944606,19.660206628765003
2023-07-09,59.64550870731699,0.6286735821704427,0.0,7.479916974891284,12.629193201859609,19.616707533761666
2023-07-16,59.40367979315364,0.680084246313789,0.0,7.541543770385229,12.823874642542334,19.550817547605
2023-07-23,59.02858678351881,0.7199704828235138,0.0,7.60937303872151,12.940652896528807,19.701416798407358
2023-07-30,58.582718926060245,0.72482773449506,0.00018973080652719796,7.604625713998536,13.197173939596185,19.89046395504344
2023-08-06,56.96467074531579,0.7644524821886375,0.04802527223489238,7.878811806161165,14.179066050364437,20.164973643735074
2023-08-13,58.467452891317514,0.7764863716290336,0.16705555879034464,7.587785139449369,13.582631667374704,19.418588371439032
2023-08-20,59.42159295767948,0.7947373689093726,0.38375351714468764,7.4139765966271645,12.950208849468497,19.035730710170803
2023-08-27,58.51244463146495,0.8178622769968422,0.477138017530044,7.438069791228836,13.911509986971888,18.84297529580744
2023-09-03,58.600089343837865,0.8198173966201565,0.6804254082208538,7.510762656599918,13.917801522936584,18.471103671784622
2023-09-10,57.73331865582948,0.8176225978574838,0.9910723180434486,7.637299065412971,14.5553620460026,18.265325316854018
2023-09-17,56.88525802924064,0.8035282969893686,0.9456878310145564,7.44408546125179,15.759941700656677,18.161498680846968
2023-09-24,55.67052837647227,0.8105415306443933,0.8820425558556967,7.301283449455345,17.285254490770054,18.05034959680223
2023-10-01,55.627942844793175,0.8287886110363508,0.8577498478979126,7.358038317689379,17.355960825066898,17.971519553516284
2023-10-08,55.36105590852204,0.8522960793046461,0.8668192856134587,7.215223626799007,17.600356618404465,18.104248481356382
2023-10-15,54.82996541422243,0.843998275475726,0.8419760360202536,7.154964578453,18.091887382158042,18.23720831367055
2023-10-22,54.759802128753506,0.8868318407694764,0.7940814303771789,7.118471931483322,18.16330284760007,18.277509821016444
2023-10-29,55.30008220505397,0.9125063115654707,0.7275160172607488,6.81505412413482,18.054866028534782,18.189975313450212
2023-11-05,54.956768175014936,0.9818084878650479,0.6807839921715503,6.6072160189499485,18.646188239092243,18.127235086906275
2023-11-12,55.52182671095452,1.0450155117418736,0.6390121454323572,6.545377545350364,17.97398407879672,18.27478400772416
2023-11-19,55.06505427374769,1.2082967725430689,0.6143759674180984,6.377870858478566,17.838180076567532,18.896222051245047
2023-11-26,55.445039315274805,1.2609333132807727,0.5939249134034624,6.169647855831664,17.65019475171864,18.880259850490656
2023-12-03,56.19563729621543,1.380923467031984,0.6218927677981465,6.304931250290973,16.308998852052415,19.187616366611046
2023-12-10,56.56575479079137,1.5006863407173376,0.624607638211509,6.034689172267833,16.068106968082102,19.206155089929844
2023-12-17,55.39089321843365,1.9022362322625972,0.7156713486834168,6.036512738828454,16.039172004098724,19.915514457693153
2023-12-24,54.88294719986754,2.328993496217816,0.8191935374846885,6.000543872907032,15.965354998931007,20.002966894591925
2023-12-31,54.26407486418204,2.7323748502207423,0.8314812230043634,6.382382929595456,15.240022349826944,20.549663783170445
2024-01-07,54.38713369543343,2.6043344723405286,0.7834150666111894,6.515782928891577,15.395719293284174,20.313614543439105
2024-01-14,55.77754605145276,2.42031726291416,0.7547667670653365,6.342103667309006,14.92139491823838,19.78387133302036
2024-01-21,56.01858916961003,2.4643600224574773,0.7295877648088123,6.290722621365857,14.296634290695879,20.200106131061943
2024-01-28,55.58973753894836,2.504134643813021,0.7043850645252866,6.41857757977373,14.517105235221832,20.266059937717767
2024-02-04,54.95431424474549,2.9415997425374383,0.6986905478133508,6.482195877874645,14.496008703916486,20.427190883112594
2024-02-11,56.66702539723269,2.946656078632608,0.6540465567654795,6.099746124262022,14.101239064341556,19.531286778765644
2024-02-18,58.64197277979075,2.9246487790798676,0.5814042872178717,5.681451456020759,13.395322531989493,18.77520016590126
2024-02-25,60.040128713379495,2.882986182765895,0.5662607962251326,5.849449835395183,12.339914025152385,18.321260447081908
2024-03-03,60.87330546768219,2.976818736458759,0.5805374788848262,5.734834097176653,11.71331295788883,18.121191261908752
2024-03-10,61.3831092919401,3.292320117987162,0.6546400396616718,5.552929637173889,11.079718960771999,18.037281952465175
2024-03-17,60.13187270374784,3.8969239936278077,0.713020955005722,6.0167032142020105,10.780152996163546,18.461326137253074
2024-03-24,58.518186405913674,4.739821878114244,0.8597897907331473,6.280358314580691,10.929211013580996,18.672632597077246
2024-03-31,58.16580707885056,5.134743312783301,1.1021512536571871,6.256022448953057,10.700397240158003,18.64087866559788
2024-04-07,58.1909783736114,5.227495432941835,1.3111208550320852,6.216058686439281,10.534126518721504,18.5202201332539
2024-04-14,58.82755673676117,4.7141836786988724,1.560358368747076,6.126370032575193,10.206093334652138,18.56543784856555
2024-04-21,59.48240176010829,4.402571880879389,1.7487917183031345,5.976323487075852,9.795601845859489,18.59430930777385
2024-04-28,59.6333939539602,4.525602081587226,1.7869209869370661,5.882845646896857,9.490958919141018,18.680278411477634
2024-05-05,59.68658016997547,4.669456308430953,1.6829445827189755,5.8237549011034675,9.481877993386986,18.65538604438414
2024-05-12,58.80647570719354,4.973943330586344,1.7317586755768335,5.878294178430535,9.636937646242712,18.97259046197004
2024-05-19,58.42722888356494,5.154680581915049,1.6937413511510697,5.720188824912469,9.737346422403899,19.266813936052568
2024-05-26,60.29731582702788,5.0132985708917515,1.6570429553424442,5.3397325106447715,8.909157654975242,18.78345248111791
2024-06-02,61.16682687534461,4.859911838286572,1.6026190708533794,5.163487786811534,8.51155861424798,18.695595814455924
2024-06-09,61.09004461494148,4.76846649935162,1.6157254016904496,5.280515997049802,8.609601333068353,18.635646153898286
2024-06-16,61.043834383556835,4.630864051277478,1.6116884628452304,5.231399767560858,8.818204530412658,18.66400880434694
2024-06-23,61.53203894892399,4.4800300563009205,1.6019468732275783,5.147960832766464,8.792074490795303,18.445948797985746
