date,coin,notional_usd
2026-06-07,MSTR,11072066.388835
2026-06-07,MU,59529900.59297
2026-06-07,NATGAS,3747233.477295
2026-06-07,NFLX,429743.2399275
2026-06-07,NOW,143049.083625
2026-06-07,NVDA,23263217.0189475
2026-06-07,ORCL,5416878.85092
2026-06-07,PALLADIUM,269292.55809999997
2026-06-07,PLATINUM,715335.2929124999
2026-06-07,PLTR,2886346.87599
2026-06-07,PURRDAT,637591.509375
2026-06-07,QNT,654545.29896
2026-06-07,RIVN,274904.18184
2026-06-07,RKLB,1507954.3125
2026-06-07,SILVER,69830885.32818751
2026-06-07,SKHX,82269792.33
2026-06-07,SMSN,11573138.420444999
2026-06-07,SNDK,15649616.01485
2026-06-07,SP500,119056506.364875
2026-06-07,SPCX,20928466.664325003
2026-06-07,TSLA,6524057.7274925
2026-06-07,TSM,4769288.319042499
2026-06-07,URNM,101749.4731575
2026-06-07,USAR,1146986.968175
2026-06-07,XLE,21467.622005
2026-06-07,XYZ100,224309349.774825
2026-06-07,ZM,60746.56709625
2026-06-08,AAPL,17798446.06765
2026-06-08,AMD,25382604.6866925
2026-06-08,AMZN,4440263.355517501
2026-06-08,ARM,5689488.410625
2026-06-08,ASML,477409.8693
2026-06-08,AVGO,1331246.8194000002
2026-06-08,BABA,1773869.9769250003
2026-06-08,BB,9501182.8275
2026-06-08,BIRD,175284.8804075
2026-06-08,BRENTOIL,227782810.8669475
2026-06-08,BX,174173.10640000002
2026-06-08,CBRS,18219640.246299997
2026-06-08,CL,480562061.6384508
2026-06-08,COIN,7684210.905939999
2026-06-08,COPPER,11908019.221731503
2026-06-08,COST,101343.36955599999
2026-06-08,CRCL,21761878.724452004
2026-06-08,CRWV,6111305.228565
2026-06-08,DELL,1287338.2400000002
2026-06-08,DKNG,554274.904975
2026-06-08,DRAM,30191867.236575004
2026-06-08,EBAY,204733.50400000002
2026-06-08,EUR,1903781.425135
2026-06-08,EWJ,674528.9802389999
2026-06-08,EWT,131786.73976750002
2026-06-08,EWY,35295008.1858
2026-06-08,EWZ,770224.7575749998
2026-06-08,GBP,105883.9549
2026-06-08,GME,2534772.9892450003
2026-06-08,GOLD,46382558.18912
2026-06-08,GOOGL,13412312.980375
2026-06-08,HIMS,1746137.5689999997
2026-06-08,HOOD,8907511.51602
2026-06-08,HYUNDAI,2101044.491775
2026-06-08,IBM,1088464.3938250002
2026-06-08,INTC,73288280.382
2026-06-08,JP225,998386.7762
2026-06-08,JPY,1498614.25385
2026-06-08,KR200,907607.2524199999
2026-06-08,LITE,5157983.044497499
2026-06-08,LLY,13434802.4781425
2026-06-08,META,4098246.02901
2026-06-08,MRVL,124660187.83272499
2026-06-08,MSFT,6687937.5337
2026-06-08,MSTR,20251927.2065625
2026-06-08,MU,285858253.01655
2026-06-08,NATGAS,5828985.937872499
2026-06-08,NFLX,437606.8032375
2026-06-08,NOW,264764.896375
2026-06-08,NVDA,62242025.55832501
2026-06-08,ORCL,14639249.593044998
2026-06-08,PALLADIUM,852437.4567
2026-06-08,PLATINUM,1611622.3703824999
2026-06-08,PLTR,4581049.290615
2026-06-08,PURRDAT,6884417.737500001
2026-06-08,QNT,3805629.5503
2026-06-08,RIVN,608731.02897
2026-06-08,RKLB,5521050.115174999
2026-06-08,SILVER,127118937.47447503
2026-06-08,SKHX,122586592.65020001
2026-06-08,SMSN,21223843.852715
2026-06-08,SNDK,111594620.57835001
2026-06-08,SP500,770265665.1019
2026-06-08,SPCX,94638154.0874
2026-06-08,TSLA,21995955.6723
2026-06-08,TSM,5252236.039399999
2026-06-08,URNM,262291.0596675
2026-06-08,USAR,1181190.6289600001
2026-06-08,XLE,1210938.4779375
2026-06-08,XYZ100,710398954.449
2026-06-08,ZM,381466.873557
2026-06-09,AAPL,29852341.13987
2026-06-09,AMD,47539539.852805
2026-06-09,AMZN,7675658.404474999
2026-06-09,ARM,8602530.3945
2026-06-09,ASML,1192273.7114249999
2026-06-09,AVGO,2403489.40065
2026-06-09,BABA,1259040.8534200003
2026-06-09,BB,14311748.4706875
2026-06-09,BIRD,155523.22048
2026-06-09,BRENTOIL,205201603.79296252
2026-06-09,BX,449764.47559999995
2026-06-09,CBRS,16720447.621875001
2026-06-09,CL,574027319.8717946
2026-06-09,COIN,4811278.12273
2026-06-09,COPPER,12933428.457525
2026-06-09,COST,113961.26520450001
2026-06-09,CRCL,29670063.895471994
2026-06-09,CRWV,9650683.8547275
2026-06-09,DELL,2524772.18335
2026-06-09,DKNG,2403268.1078399997
2026-06-09,DRAM,38071406.009325
2026-06-09,EBAY,50292.601950000004
2026-06-09,EUR,1202230.9638625
2026-06-09,EWJ,810997.81262775
2026-06-09,EWT,1038756.870705
2026-06-09,EWY,41326606.096200004
2026-06-09,EWZ,33374.64198
2026-06-09,GBP,44063.91285
2026-06-09,GME,2059122.080865
2026-06-09,GOLD,50653552.626660004
2026-06-09,GOOGL,18583613.015762497
2026-06-09,HIMS,3249164.237805
2026-06-09,HOOD,10518601.738810001
2026-06-09,HYUNDAI,1591487.3570400001
2026-06-09,IBM,1484946.8667
2026-06-09,INTC,117490190.83835
2026-06-09,JP225,754913.82462
2026-06-09,JPY,1556547.1674750003
2026-06-09,KR200,317873.905775
2026-06-09,LITE,12163615.229867497
2026-06-09,LLY,3129830.5681650005
2026-06-09,META,8738470.017900001
2026-06-09,MRVL,150654447.75875
2026-06-09,MSFT,7876796.538577501
2026-06-09,MSTR,17487986.419205002
2026-06-09,MU,410168297.122475
2026-06-09,NATGAS,6370019.23134
2026-06-09,NBIS,1193457.0839
2026-06-09,NFLX,821321.081641
2026-06-09,NOW,2143806.54345
2026-06-09,NVDA,68318351.088045
2026-06-09,ORCL,14629744.827104999
2026-06-09,PALLADIUM,1162555.9369
2026-06-09,PLATINUM,2180766.1528274994
2026-06-09,PLTR,5530118.1600049995
2026-06-09,PURRDAT,5926467.0222000005
2026-06-09,QNT,3837053.22928
2026-06-09,RIVN,813160.9626450001
2026-06-09,RKLB,8385885.817325001
2026-06-09,SILVER,191711709.94720498
2026-06-09,SKHX,128763372.07562499
2026-06-09,SMSN,23817088.67796
2026-06-09,SNDK,201100049.62977502
2026-06-09,SP500,942909790.8879001
2026-06-09,SPCX,71501870.4417
2026-06-09,TSLA,24991699.22697
2026-06-09,TSM,5780082.0631125
2026-06-09,URNM,361295.41947499994
2026-06-09,USAR,1996219.5391249997
2026-06-09,WDC,35776.647562499995
2026-06-09,XLE,403823.076585
2026-06-09,XYZ100,1055997319.1487001
2026-06-09,ZM,1133539.75874475
2026-06-10,AAPL,9046737.1776
2026-06-10,AMD,19436975.889595002
2026-06-10,AMZN,5775061.299507501
2026-06-10,ARM,5389798.554374999
2026-06-10,ASML,809102.8002749999
2026-06-10,AVGO,3184602.293
2026-06-10,BABA,6293688.044175001
2026-06-10,BB,9727341.029784998
2026-06-10,BIRD,149718.20571
2026-06-10,BRENTOIL,264461322.94237503
2026-06-10,BX,162820.863375
2026-06-10,CBRS,26783388.898399998
2026-06-10,CL,621365987.7662842
2026-06-10,COIN,4791017.19374
2026-06-10,COPPER,27134658.7097375
2026-06-10,COST,76628.36668050001
2026-06-10,CRCL,19139119.90114825
2026-06-10,CRWV,7725746.553125001
2026-06-10,DELL,2220801.7012
2026-06-10,DKNG,1203097.77336
2026-06-10,DRAM,28340113.30505
2026-06-10,EBAY,29873.7575
2026-06-10,EUR,2457807.541365
2026-06-10,EWJ,544054.0090435001
2026-06-10,EWT,140483.54881000004
2026-06-10,EWY,33737854.804657504
2026-06-10,EWZ,63648.47992
2026-06-10,GBP,14083.810125000002
2026-06-10,GME,519303.4000075
2026-06-10,GOLD,96186220.97510499
2026-06-10,GOOGL,10564046.83941
2026-06-10,HIMS,3487480.8007050003
2026-06-10,HOOD,12634401.202904
2026-06-10,HYUNDAI,5427737.13024
2026-06-10,IBM,1905734.55735
2026-06-10,INTC,76863133.45889999
2026-06-10,JP225,930878.4921975001
2026-06-10,JPY,942995.3587999998
2026-06-10,KR200,570625.4040000001
2026-06-10,LITE,13353381.6697875
2026-06-10,LLY,1545378.032075
2026-06-10,META,5089020.756015
2026-06-10,MRVL,79132813.05659999
2026-06-10,MSFT,11949711.50093
2026-06-10,MSTR,18303589.24295
2026-06-10,MU,251096427.19567
2026-06-10,NATGAS,8648676.962687502
2026-06-10,NBIS,3148774.048
2026-06-10,NFLX,330646.5757275
2026-06-10,NOW,2369437.915
2026-06-10,NVDA,49465108.740862496
2026-06-10,ORCL,56076825.417239994
2026-06-10,PALLADIUM,1259613.9461449997
2026-06-10,PLATINUM,2049731.1479700003
2026-06-10,PLTR,4305164.464125
2026-06-10,PURRDAT,7705129.143250001
2026-06-10,QNT,5285905.5826200005
2026-06-10,RIVN,1058478.62883
2026-06-10,RKLB,6259324.589474999
2026-06-10,SILVER,273108035.56873006
2026-06-10,SKHX,117357439.5342
2026-06-10,SMSN,24128868.785662502
2026-06-10,SNDK,135720773.523
2026-06-10,SP500,1081853306.041125
2026-06-10,SPCX,67024772.856000006
2026-06-10,TSLA,25109962.531372502
2026-06-10,TSM,4795271.380055
2026-06-10,URNM,773407.16086
2026-06-10,USAR,1239928.27189
2026-06-10,WDC,79167.63307499999
