blockchain,date,rev_usd,tps,spot_dex_volume_usd,circulating_stablecoin_supply_usd,median_fee_usd,color_code,title,rnk
arbitrum,2023-11-25T00:00:00+00:00,293240.4198371751,11.402686838624339,158597261.05721208,2088355552.384131,0.15960268181032564,#78c1db,Arbitrum,6
arbitrum,2023-11-24T00:00:00+00:00,196274.63116895687,8.516301256613756,354752494.4015252,2078147677.2550225,0.1632627937368518,#78c1db,Arbitrum,6
arbitrum,2023-11-23T00:00:00+00:00,210443.29983563395,8.801790674603174,274131423.54785746,2058019527.2555811,0.1581631033017414,#78c1db,Arbitrum,6
arbitrum,2023-11-22T00:00:00+00:00,243551.34676910526,8.830752314814815,541713182.6576732,2039171999.681003,0.1614932949197148,#78c1db,Arbitrum,6
arbitrum,2023-11-21T00:00:00+00:00,271642.78357273975,8.673513558201059,605754519.7141215,2058283556.7733836,0.1622432012506352,#78c1db,Arbitrum,6
arbitrum,2023-11-20T00:00:00+00:00,196233.6631211314,8.451364087301588,504260766.4011744,2055746146.159062,0.16585935599322502,#78c1db,Arbitrum,6
arbitrum,2023-11-19T00:00:00+00:00,111146.74638355,8.395530753968254,233667815.9469773,2027975310.4373322,0.18010498102185402,#78c1db,Arbitrum,6
arbitrum,2023-11-18T00:00:00+00:00,126121.64323966978,8.336992394179894,244402195.13906553,2015389303.2402,0.1902784533805598,#78c1db,Arbitrum,6
arbitrum,2023-11-17T00:00:00+00:00,194405.7882606453,8.429117063492063,490472756.6858231,2010891248.1666274,0.1996674893942445,#78c1db,Arbitrum,6
arbitrum,2023-11-16T00:00:00+00:00,228435.85695835616,8.139986772486772,722518654.1177561,2020724239.610639,0.2117903254728278,#78c1db,Arbitrum,6
arbitrum,2023-11-15T00:00:00+00:00,208820.75590290615,8.356326058201057,494789099.32924914,2020891882.0414524,0.21894967867360024,#78c1db,Arbitrum,6
arbitrum,2023-11-14T00:00:00+00:00,246400.6750037153,8.410869708994708,606207023.3718175,2035597004.3143,0.21426488150552278,#78c1db,Arbitrum,6
arbitrum,2023-11-13T00:00:00+00:00,266144.0994042469,8.388040674603175,706428651.4097025,2018751964.646944,0.20615508961158713,#78c1db,Arbitrum,6
arbitrum,2023-11-12T00:00:00+00:00,159305.3264966244,8.285510912698413,354981505.49888617,2004429712.084426,0.1914010491609784,#78c1db,Arbitrum,6
arbitrum,2023-11-11T00:00:00+00:00,190348.43850442526,8.325595238095238,424454621.21201164,2013568075.5999835,0.1843506540147608,#78c1db,Arbitrum,6
