Day,Only_BRC20_Fee,Only_Runes_Fee,Other_Inscriptions_Fee,Other_RnI_Fee,regular_tx_Fee,RnB_Fee
2024-11-30,0.8502260500000314,1.7038072600000413,0.14797762000000722,0.020599540000000003,7.399920189999778,0
2024-12-01,0.4746715500000194,9.588427689995681,0.10232695000001073,0.00150425,10.020501620000667,0
2024-12-02,0.23958042000000002,0.43839231000000234,0.05240086000000002,0.004357369999999999,18.454603790000554,0
2024-12-03,1.790334009999966,0.3577328800000061,0.05693082999999603,0.00522277,13.258532020000711,0
2024-12-04,0.6240266200000116,1.5656724000000695,0.041760389999996324,0.01213679,9.603755930000146,0
2024-12-05,1.036887149999995,1.1598140399999912,0.09808735000000038,0.0143788,11.976069600000283,0
2024-12-06,0.7345646900000307,1.6883433900000424,0.10048077000000671,0.00358279,11.678183660000126,0
2024-12-07,0.5214693599999602,4.241383249999809,0.04890994999999607,0.00259433,14.250224570000588,0
2024-12-08,2.8718015799999304,0.46910711000000604,0.025289509999998155,0.00402484,11.848208140000798,0
2024-12-09,1.3078615299999363,0.46573528999999725,0.5574294900000284,0.0021761499999999995,13.637117670000505,0
2024-12-10,1.4769877899999775,0.47857429000000073,0.20574730999999385,0.013985159999999998,13.70370475000025,0
2024-12-11,2.037742209999978,1.1597776599999505,0.29826366999999376,0.0006842199999999999,15.437820710001116,0
2024-12-12,2.76189001000004,0.2556518299999993,0.1290378399999802,0.00255229,16.5394653200006,0
2024-12-13,1.9214538699999415,0.2660129400000002,0.1404311900000114,0.0022853599999999997,12.097583420000362,0
2024-12-14,1.329236339999999,1.0591472400000048,0.12983856999999377,0.00403303,9.471091080000068,0
2024-12-15,0.7625206399999892,0.4705189099999992,0.054335989999996184,0.00163317,8.277009520000227,0
2024-12-16,1.177100989999964,0.2924872100000016,0.14240833999999933,0.004289150000000001,10.711278490000405,1.29e-05
2024-12-17,0.7990593199999853,0.5739971300000124,0.31348925999997757,0.00110666,11.049689880000209,0.0002759099999999999
2024-12-18,0.8003686699999438,0.39873925999999976,0.34765548999998486,0.005968800000000001,11.56048516000062,0.00018211000000000003
2024-12-19,0.6361653399999878,0.7264038100000009,0.4770085999999962,9.532999999999992e-05,21.032630040000523,0.00039846
2024-12-20,0.4493431900000066,0.2078271099999999,0.3415708299999924,0.0020369200000000002,14.184931760000293,0.00027393
2024-12-21,0.35438646000000384,0.27747938999999616,0.6779661199999996,0.004325729999999999,9.382344500000281,0.00022816000000000015
2024-12-22,0.13913233999999935,0.5068148099999595,0.5189634999999976,0.0003865199999999999,7.119559290000196,0.00014628000000000004
2024-12-23,0.12947130000000054,0.1252017200000001,0.4930123000000005,0.00067299,10.087093780000158,0
2024-12-24,0.24431858999999703,0.14376868000000073,0.35670123000000287,0.0039253099999999996,8.82275180000007,0.00023680999999999992
2024-12-25,0.5001071800000046,0.3242810699999976,0.39935567000001626,0.00255989,6.467530169999889,0
2024-12-26,0.1479019799999985,0.22632725000000226,0.26205059000000064,0.00102809,7.086438230000081,0
2024-12-27,0.12788035000000117,0.24760841999999186,0.13922618999999486,0.0008368000000000002,6.382339840000094,0
2024-12-28,0.1028717700000008,0.1568727199999991,0.2736808299999962,0.00439288,5.122502120000049,0
2024-12-29,0.20374412000000125,0.7946084099999784,0.1797477100000002,0.00292179,5.284118859999775,0
2024-12-30,0.09814782000000004,0.558473050000021,0.26768522999999755,0.0007716,6.148329930000058,0
2024-12-31,0.3088532899999482,0.17415178999999997,0.21749525999999672,0.00279957,5.218078700000186,0
2025-01-01,0.19504280000000193,0.1193762299999996,0.24163219000000505,0.0025445200000000006,4.200753959999984,0.00031175999999999974
2025-01-02,0.4422536200000193,0.13361448000000142,0.19507005999998786,0.0006559199999999991,4.778992429999914,0.0004827700000000004
