date,MNT,USDC,USDT,CMETH,METH,ETH,WMNT,USDE,FBTC,WETH
2026-05-26 00:00:00,140017001.93777,20478297.943,1634134.57141,36313595.87336,51411034.82695,0.0,34863.67187,95138271.97435,2556883.30919,285277304.28202
2026-05-27 00:00:00,137701604.39007,20444874.26237,1635280.2892,35515477.07225,50375787.06682,0.0,33958.84715,95130185.8755,2538342.77077,280266910.19185
2026-05-28 00:00:00,135287358.41065,20211876.79349,1635311.70242,34737027.00479,49195106.48794,0.0,33458.28211,95051653.05974,2466237.59309,273995140.13339
2026-05-29 00:00:00,135950873.68455,20632789.71251,1641982.55963,34594889.11666,48951622.05588,0.0,33612.70557,94966209.38552,2456499.71647,272624976.24966
2026-05-30 00:00:00,138958979.72103,20297619.10832,1640627.58694,34573813.28905,48958876.24254,0.0,34299.51787,94576346.40071,2441951.12638,272682119.81165
2026-05-31 00:00:00,146934021.27977,20406699.73526,1640136.29479,34735798.28078,49308774.12107,0.0,36137.62241,93984021.4971,2548010.23421,272492678.15124
2026-06-01 00:00:00,144173070.19247,20183144.52233,1639570.5874,34549314.81372,49017601.26102,0.0,35561.33438,93813514.01832,2461062.62088,272273691.03733
2026-06-02 00:00:00,136816729.7345,19967561.4226,1642273.53415,34356255.82888,48693570.49324,0.0,33865.72121,94195860.84466,2273623.26642,279666249.23074
2026-06-03 00:00:00,130327585.21979,20378411.80824,1644451.18504,31746852.55709,45150471.57453,0.0,32347.3383,94594797.07441,2162395.51051,260028946.48125
2026-06-04 00:00:00,128021878.11482,20406445.06347,1640486.51397,31365772.77458,44382798.61448,0.0,31814.19234,93968428.7968,2042464.94268,291014982.47214
2026-06-05 00:00:00,119033699.52194,22209988.983,1644367.32689,30393273.88997,43223912.65364,0.0,29669.2113,93705884.46241,2091492.36352,281195137.82397
2026-06-06 00:00:00,111914614.98828,23211498.89252,1645039.51659,27018043.9497,38655462.37044,0.0,27611.89641,94472230.77338,2299688.64582,252635891.56262
2026-06-07 00:00:00,109738057.64013,24914033.35444,1656280.42316,26867168.39634,38201049.79038,0.0,27458.85716,94546643.67492,2322814.67056,250330199.49554
2026-06-08 00:00:00,116758211.83303,24468728.66662,1647746.00735,29048062.70629,41406164.301,0.0,28989.99275,93882794.84372,2288774.15511,269678989.82064
2026-06-09 00:00:00,115847776.71889,27929912.81835,1638953.44529,28830118.81812,41007324.90993,0.0,28862.6285,93707739.8681,2237583.05187,266675096.67399
2026-06-10 00:00:00,114582210.84284,28464503.13947,1650611.20443,28160644.81997,40184300.567,0.0,28615.729,93481538.38436,2272837.95729,262568809.78909
2026-06-11 00:00:00,113252617.24499,11410819.29203,1643625.02222,27916262.92976,39790228.19446,0.0,28200.37093,93129163.08047,2275314.06277,260039105.09034
2026-06-12 00:00:00,116199799.14114,11056853.218,1647677.8034,14144745.62763,41346149.38478,0.0,28957.7517,92498542.0042,2405725.49784,268983938.55684
2026-06-13 00:00:00,115091593.89458,10285004.22988,1641892.8855,14074033.95342,41032059.25495,0.0,28638.02496,92448898.29207,2459514.53789,268199755.60261
2026-06-14 00:00:00,119199119.43684,9793106.64863,1646878.91739,14207464.47934,41483161.72985,0.0,29715.63905,92194758.21456,2523782.39961,271712981.7127
2026-06-15 00:00:00,121845973.36988,9962640.17802,1653864.3591,14558405.7527,42538464.60407,0.0,30364.07375,91911556.9096,2553650.12941,278503715.75322
2026-06-16 00:00:00,123846214.48455,11057677.76304,1645235.74497,15198721.08881,44355454.44345,0.0,30893.88654,91228208.05951,2449340.52359,290147959.16651
2026-06-17 00:00:00,118877774.16286,11207597.82398,1641069.53701,15087515.43238,44200412.2922,0.0,29723.47411,91020215.80451,2420625.35633,291455017.11092
2026-06-18 00:00:00,115371571.22591,11629634.9027,1644403.52755,14726556.42042,43110216.97336,0.0,28922.31133,80833987.97376,2388457.78937,284476357.99922
2026-06-19 00:00:00,112658226.1225,11900242.10965,1653576.41705,14406400.36692,42114589.40332,0.0,28352.19355,90509277.47619,2283586.55403,280219810.48311
2026-06-20 00:00:00,111990177.53573,11914773.79849,1644973.20679,14417297.67738,42181953.96701,0.0,28212.97033,80300119.85361,2294057.10847,261508694.96707
2026-06-21 00:00:00,113828193.62041,12474685.61111,1649791.245,14664988.26731,42738093.90039,0.0,28498.36293,79976229.46658,2353314.9585,264852235.19221
2026-06-22 00:00:00,112643259.39411,12308591.89368,1647924.17858,14332818.10322,42015490.60926,0.0,28228.4175,79780193.44495,2342291.99977,260713957.9392
2026-06-23 00:00:00,113249513.2189,12093326.89552,1648689.1407,14490985.92415,42512743.74535,0.0,28481.27117,78910891.51765,2344211.78293,263754677.12879
