Timestamp,Date,Measure,Centrifuge,Backed Finance,Backed Finance (xStocks),Securitize,Ondo,Swarm,STOKR,Figure,WisdomTree,Plume Vaults,Superstate Opening Bell,Remora Markets,Robinhood,st0x,bStocks,Dinari
1779580800000,2026-05-24,Bridged Token Value (Dollar),6449732.822412254,902242.1645487647,460346367.58980477,80013317.02,949214616.4801815,1528669.5488048568,9730060,27404473.950000003,26084447.295467474,1881.3989884024963,25602888.8773974,1787075.6256366607,19530046.85838804,97382.15835696447,,9840566.347401794
1779667200000,2026-05-25,Bridged Token Value (Dollar),6473952.33918014,902242.1645487647,460396047.7139176,80013317.02,949214616.475489,1054996.578051771,9730060,27404473.950000003,26084447.295467477,1881.3989884024963,25602888.8773974,1787075.6256366607,19262528.460800994,97382.15835696446,,9837649.349623311
1779753600000,2026-05-26,Bridged Token Value (Dollar),6473952.33918014,879226.1947991361,461085010.085025,80952914.22,1010190987.6981287,1053386.7082764814,9488580,28429619.22,26300670.789188746,1881.3989884024963,26276647.06678712,1787075.6256366607,18186979.79459959,97187.47631794945,,9899925.524870588
1779840000000,2026-05-27,Bridged Token Value (Dollar),6517154.608990033,850395.474167895,459055899.413867,74193615.62,1032746997.876637,1047319.0894207158,9462480,27517482.090000004,26301074.05778736,1881.3989884024963,25235141.321793716,1787075.6256366607,18344001.26752242,97695.88308554114,,9861624.913201021
1779926400000,2026-05-28,Bridged Token Value (Dollar),6517861.236893958,890103.5185262623,465459085.0023983,76084575.34,1055188215.5863847,1035373.8941136474,9337360,28034090.729999997,26508877.32028418,1881.3989884024963,25457538.03505388,1787075.6256366607,18771772.61363553,107905.45799871515,,9870039.482574156
1780012800000,2026-05-29,Bridged Token Value (Dollar),6553763.000691156,921553.356254488,470242078.66029376,76869426.04,1076021453.4778986,1048524.8810928941,9337360,28534555.35,26642649.894163154,1881.3989884024963,26276110.899472076,1787075.6256366607,19077043.18785978,118058.86276487133,,9879037.651591828
1780099200000,2026-05-30,Bridged Token Value (Dollar),6553763.000691156,921553.356254488,470295205.54222244,78756276.04,1076021453.477899,1053935.266572719,9337360,28534555.35,26642649.89416315,1881.3989884024963,26276110.899472076,1787075.6256366607,19075694.687888596,118058.86276487132,,9876988.56321486
1780185600000,2026-05-31,Bridged Token Value (Dollar),6553763.000691156,921553.356254488,470295197.9374132,78756276.04,1076021453.477899,1053935.2665727192,9337360,28534555.35,26642649.894163154,1881.3989884024963,26276110.899472076,1787075.6256366607,19075694.687888563,118058.86276487133,,9876566.622068334
1780272000000,2026-06-01,Bridged Token Value (Dollar),6569162.167441663,892023.3742942506,464945562.8084999,78991675.34,1033726129.0532055,1040778.359498524,9250480,26968585.409999996,26780371.327670496,1881.3989884024963,26072346.00040956,1787075.6256366607,19450290.22527771,113033.75192393249,,9813907.998474509
1780358400000,2026-06-02,Bridged Token Value (Dollar),6586737.693153417,851977.340541919,458682951.10377216,75551844.08,1026028983.1972126,841785.5308901723,9195780,25903080.090000004,26832210.182710316,1881.3989884024963,25112672.19337656,1787075.6256366607,19896906.539104298,116402.02601163974,,9831847.399758935
