date,xyz_share_all,xyz_share_q1peers,total_usd_all,xyz_usd,hhi_all,runner_up,runner_up_share,active_namespaces
2026-03-16,0.8346783736890214,0.8346783736890214,2053387347.9846249,1713918012.1694193,7086.582667779828,cash,0.1023017475118004,6
2026-03-17,0.8088604906857275,0.8088604906857275,1419520859.470349,1148194338.9298122,6727.710053276709,cash,0.1311088688316294,6
2026-03-18,0.8630952490900863,0.8630952490900863,2455343214.218953,2119195063.0779605,7531.3002253686045,cash,0.0857172865504271,6
2026-03-19,0.9079324456033336,0.9079324456033336,3916618768.377004,3556025256.8684497,8278.522595107923,cash,0.0555209366491794,6
2026-03-20,0.8654603787319969,0.8654603787319969,2327726300.0201187,2014554885.1998415,7576.489596343868,cash,0.0893204663350987,6
2026-03-21,0.8064511094974346,0.8064511094974346,385886654.6663001,311198720.7958911,6715.792177072646,cash,0.1419763264511246,6
2026-03-22,0.8555520868137761,0.8555520868137761,931981428.7109551,797358656.2053423,7407.258565025742,cash,0.0876104255076785,6
2026-03-23,0.8945833521273435,0.8945833521273435,5939022744.342734,5312950874.994658,8066.033794406008,cash,0.0780493284192538,6
2026-03-24,0.8892883105413463,0.8892883105413463,3469124699.0126815,3085052042.642244,7982.224174642516,cash,0.0844736000951975,6
2026-03-25,0.8834143143792569,0.8834143143792569,2544010665.0639286,2247415437.450968,7885.996720785775,cash,0.0890470055310885,6
2026-03-26,0.9049071957177198,0.9049071957177198,2413494092.5422854,2183988171.1637225,8235.353269292544,cash,0.0665117386656737,6
2026-03-27,0.8876258035684866,0.8876258035684866,2331741264.1074243,2069713713.267151,7945.155114752061,cash,0.0794101629633464,6
2026-03-28,0.8694720071442457,0.8694720071442457,386148347.18384296,335745178.48136896,7631.745374037171,cash,0.0775266547551562,6
2026-03-29,0.88622216452057,0.88622216452057,644708859.2340612,571355280.7159972,7902.746916886981,cash,0.0628688035973054,6
2026-03-30,0.8970508408677674,0.8970508408677674,2297079677.813319,2060597256.5226984,8101.192853062671,cash,0.0712782157459773,6
