hour_ts_utc,Trade[XYZ],Binance,OKX,Aster,Lighter,Ventuals
2026-06-06 05:00:00+00:00,164.4439775286245,164.35639408736256,160.9273911688437,164.53735146278296,150.48646721136774,
2026-06-06 06:00:00+00:00,166.15519479781386,165.991284196325,162.61950267698705,166.1098738245352,152.59938837920487,149.65130165182578
2026-06-06 07:00:00+00:00,166.08108553276935,165.8101716555097,162.6773795593868,165.66254714134863,152.5611620795107,151.2575135416042
2026-06-06 08:00:00+00:00,165.07771063966737,164.93823898345642,161.73039502561463,164.86544284469153,151.43348623853208,151.26132454837938
2026-06-06 09:00:00+00:00,164.43638099807634,164.2033909735435,160.90904799897885,164.12,150.80309392491176,148.31804281345563
2026-06-06 10:00:00+00:00,164.20995895367656,163.9671261985984,160.51907758634002,164.11980030416842,,148.81068913213596
2026-06-06 11:00:00+00:00,166.75899324479659,166.60340138824722,163.06325610706466,166.71661950577968,,150.45489343665318
2026-06-06 12:00:00+00:00,165.3377438330356,165.16328974469874,161.6793565983113,165.1695707337471,151.7584097859327,151.1087984700469
2026-06-06 13:00:00+00:00,164.76356413119117,164.63408435277464,161.27892958625398,164.65653368142492,151.65902140672782,150.85149846192436
2026-06-06 14:00:00+00:00,164.97536790429768,164.76240193390583,161.36379616397682,165.55064828174952,151.45259938837918,151.54434250764524
2026-06-06 15:00:00+00:00,163.9565736358761,163.83607891435742,160.51452883744602,163.88000000000002,150.53516819571865,151.33792048929664
2026-06-06 16:00:00+00:00,164.05392659692893,163.79307800913088,160.67237632666843,163.84095854054775,,
2026-06-06 17:00:00+00:00,164.72006026013156,164.48140016906459,161.56039572760767,164.61,151.13914373088684,151.26911314984707
2026-06-06 18:00:00+00:00,163.72696164007726,163.51811942685435,160.54856794772041,163.38999999999996,149.81651376146786,150.56574923547402
2026-06-06 19:00:00+00:00,163.23151774891733,163.05312169617392,160.12387842884385,163.1016677563029,,150.38990825688074
2026-06-06 20:00:00+00:00,163.1315181298851,162.89987867604287,160.00192961635958,162.93,149.92354740061162,150.71865443425077
2026-06-06 21:00:00+00:00,163.26779603574954,163.04408414757523,160.17425504651044,162.96931588501855,,150.37461773700306
2026-06-06 22:00:00+00:00,163.15508307406685,162.8430766096629,160.0126550369514,163.58499999999998,149.46483180428135,150.3746831464877
2026-06-06 23:00:00+00:00,167.09196880073807,166.74660264962395,163.82164221182103,166.7501808370439,,150.38226299694188
2026-06-07 00:00:00+00:00,167.34292210538592,166.97734060524252,163.95980025969624,166.7125018760318,,150.38226299694188
2026-06-07 01:00:00+00:00,168.537067826927,168.1626757376606,165.21665935756866,168.1092593000584,,151.5748362703836
2026-06-07 02:00:00+00:00,167.50124495364383,167.11839086497608,164.26787033338599,166.85,,151.91602848506253
2026-06-07 03:00:00+00:00,168.48886409669575,168.1145663866073,165.27416643508133,168.2284885362944,,
2026-06-07 04:00:00+00:00,169.36517670256424,168.94733725162507,165.98962912766189,168.90180996439963,155.29434250764524,152.50769671004323
2026-06-07 05:00:00+00:00,171.6011949712382,171.4457742105048,168.67273752642737,171.8,156.03975535168192,153.04281345565747
2026-06-07 06:00:00+00:00,172.21019948386373,171.8987581776941,168.8327657639519,171.79739242776054,157.8058103975535,154.22823189148318
